Quotes,Punc_Freq,Punc_Type,Exclamation,Stopwords,Camelcase,Negation,Propn,Usermention,Hashtags,Misspel,OutofVocab,Noun,Past_Tense,Verbs,Interrogation,word_count,mean_word_length,ttr,mtld,sentiment_score,constructive,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
1,2,2,0,6,0,0,1,0,0,0,4,3,0,2,0,9,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,4,0,0,0,0,0,1,3,3,1,2,0,7,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,4,0,7,0,0,0,0,0,0,3,2,0,1,0,34,3,0,11,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
0,11,3,8,11,0,0,1,0,0,1,10,2,0,0,0,28,2,0,60,0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.0
1,2,2,0,8,0,0,1,0,0,0,4,1,0,2,0,29,3,0,9,0,1.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.2857142857142857
0,4,4,0,8,0,0,0,0,0,1,6,4,0,2,0,28,3,0,28,0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
0,2,4,0,4,0,0,1,0,0,1,4,2,0,2,0,18,3,1,0,0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
0,4,8,0,11,0,0,0,0,0,1,8,3,0,3,0,160,3,0,99,3,1.0,0.1136363636363636,0.1363636363636363,0.0909090909090909,0.0454545454545454,0.1363636363636363,0.1363636363636363,0.1136363636363636,0.0681818181818181,0.0681818181818181,0.0909090909090909
0,2,2,0,12,0,0,0,0,0,1,7,3,1,4,0,78,3,0,114,0,1.0,0.1578947368421052,0.0526315789473684,0.1578947368421052,0.0526315789473684,0.1578947368421052,0.1052631578947368,0.0,0.0526315789473684,0.1578947368421052,0.1052631578947368
0,2,4,0,7,0,0,0,0,0,0,6,2,0,3,0,54,4,0,4,1,1.0,0.125,0.25,0.0,0.0,0.125,0.25,0.0,0.125,0.0,0.125
1,2,2,0,7,0,1,0,0,0,0,4,0,0,3,0,12,3,1,0,0,1.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.0
0,1,3,0,4,0,0,0,0,0,0,3,2,0,1,0,22,3,0,5,0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0,1,2,0,4,0,0,2,0,0,2,4,4,2,3,0,22,4,1,0,0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
0,2,4,0,9,0,0,2,0,0,1,6,3,2,3,0,44,3,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0,1,3,0,6,0,0,0,0,0,0,4,2,0,2,0,59,3,0,89,1,1.0,0.1176470588235294,0.0588235294117647,0.0,0.0,0.0,0.2941176470588235,0.2941176470588235,0.2352941176470588,0.0,0.0
1,2,2,0,6,0,0,0,0,0,0,4,1,0,2,1,19,3,0,9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,6,0,10,0,0,0,0,0,1,6,3,1,3,0,192,3,0,132,1,1.0,0.0857142857142857,0.0571428571428571,0.0857142857142857,0.0571428571428571,0.2,0.2,0.0857142857142857,0.0857142857142857,0.0285714285714285,0.1142857142857142
0,3,4,0,9,0,0,0,0,0,1,5,2,1,4,0,83,3,0,4,0,1.0,0.0952380952380952,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.1904761904761904,0.1428571428571428,0.1428571428571428,0.0476190476190476,0.0476190476190476,0.0476190476190476
0,1,2,0,10,0,0,0,0,0,0,5,3,1,4,0,67,3,0,4,4,1.0,0.1176470588235294,0.0,0.1176470588235294,0.0588235294117647,0.3529411764705882,0.0,0.1176470588235294,0.0,0.1176470588235294,0.1176470588235294
0,4,4,0,6,0,0,5,0,0,3,9,6,0,0,0,55,3,0,3,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
0,5,5,0,7,0,0,0,0,0,1,6,1,0,1,0,21,2,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0,2,2,0,3,0,0,0,0,0,0,2,1,0,1,0,4,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,5,3,0,5,0,0,1,0,0,1,4,3,0,1,0,31,3,0,3,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0,2,2,0,2,0,0,0,0,0,0,2,1,0,0,0,7,3,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,5,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,5,0,0,0,0,0,1,3,2,1,3,0,8,3,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,7,0,10,0,0,0,0,0,0,6,1,0,3,0,105,3,0,63,0,0.0,0.0952380952380952,0.1428571428571428,0.0476190476190476,0.0,0.1428571428571428,0.238095238095238,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0952380952380952
0,3,6,0,11,0,1,0,0,0,2,8,3,0,4,0,62,4,0,5,-2,0.0,0.2,0.1333333333333333,0.2,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0,0.0,0.0666666666666666,0.1333333333333333
0,1,3,0,8,0,0,0,0,0,0,5,3,0,3,0,42,3,0,4,0,0.0,0.0714285714285714,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714
0,4,8,0,10,0,1,1,0,0,1,6,2,0,2,0,47,3,0,15,-2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0
0,1,1,0,4,0,0,0,0,0,0,3,1,0,2,0,7,4,1,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1,2,2,0,7,0,0,0,0,0,0,4,1,0,4,0,13,3,1,0,0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
0,2,4,0,6,0,0,0,0,0,1,3,1,0,1,0,40,3,0,10,0,0.0,0.25,0.125,0.0,0.0,0.0,0.375,0.125,0.125,0.0,0.0
1,2,4,0,9,0,0,0,0,0,0,6,2,0,2,0,57,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
0,3,8,0,12,0,0,0,0,0,1,8,3,0,4,0,182,3,0,124,1,0.0,0.0833333333333333,0.0,0.1666666666666666,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666
1,4,6,0,11,0,0,0,0,0,1,8,3,1,3,0,34,3,0,6,-1,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0
0,1,2,0,6,0,0,0,0,0,0,4,4,0,1,0,26,4,0,26,-1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25
0,4,6,1,11,0,0,0,0,0,1,7,4,0,2,0,74,3,0,4,1,0.0,0.0769230769230769,0.0,0.2307692307692307,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.0769230769230769,0.0,0.0,0.1538461538461538
0,2,6,0,13,0,0,0,0,0,1,7,3,0,4,0,191,3,0,127,-3,0.0,0.0344827586206896,0.0689655172413793,0.1379310344827586,0.0,0.2758620689655172,0.2068965517241379,0.1034482758620689,0.0344827586206896,0.0689655172413793,0.0689655172413793
0,3,2,0,4,0,0,3,0,0,1,3,4,0,1,0,7,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0,1,1,0,3,0,0,2,0,0,0,1,5,0,1,0,7,3,1,0,0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,2,3,0,6,0,0,0,0,0,0,4,1,0,2,0,20,3,0,19,1,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0,3,4,0,12,0,0,1,0,0,2,7,7,0,3,0,142,4,0,102,5,0.0,0.0666666666666666,0.0333333333333333,0.1666666666666666,0.0,0.2833333333333333,0.0666666666666666,0.05,0.0333333333333333,0.15,0.15
0,1,2,0,5,0,0,0,0,0,0,4,1,0,1,0,17,3,0,8,0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
0,2,4,0,5,0,0,0,0,0,0,4,2,0,2,0,73,3,0,4,0,0.0,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.0,0.2777777777777778,0.1666666666666666,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.1111111111111111
0,1,2,0,3,0,0,1,0,0,1,3,2,0,0,0,13,3,0,13,0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25
0,4,2,0,16,0,0,2,0,0,3,10,7,0,3,1,56,3,0,6,0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,1,3,1,10,0,0,0,0,0,1,5,2,1,2,0,67,4,0,5,0,1.0,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.1,0.2
0,3,4,0,13,0,0,0,0,0,2,6,3,1,2,0,97,3,0,147,2,1.0,0.15,0.05,0.05,0.0,0.15,0.2,0.1,0.0,0.1,0.2
0,2,4,0,6,0,0,0,0,0,0,3,0,0,2,0,28,3,0,14,3,1.0,0.0,0.125,0.25,0.0,0.25,0.125,0.0,0.125,0.125,0.0
0,1,7,0,9,0,0,0,0,0,0,5,2,1,3,0,553,3,0,129,6,1.0,0.0967741935483871,0.0483870967741935,0.1612903225806451,0.0806451612903225,0.2741935483870967,0.0967741935483871,0.0806451612903225,0.0161290322580645,0.0483870967741935,0.0967741935483871
0,2,2,1,3,0,0,0,0,0,1,1,1,0,1,0,11,3,0,5,0,1.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428
0,1,1,0,8,0,0,1,0,0,0,4,3,0,3,0,27,4,0,13,0,1.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666
0,2,2,0,3,0,0,0,0,0,1,3,1,0,0,0,13,2,0,6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,1,3,0,9,0,0,0,0,0,0,5,2,1,3,0,168,3,0,119,2,0.0,0.0454545454545454,0.1363636363636363,0.0,0.0909090909090909,0.0909090909090909,0.2727272727272727,0.0454545454545454,0.0,0.0454545454545454,0.2727272727272727
0,1,4,0,12,0,0,0,0,0,0,8,3,2,5,0,143,3,0,94,2,0.0,0.0,0.0454545454545454,0.1818181818181818,0.0,0.2727272727272727,0.1818181818181818,0.0,0.1363636363636363,0.0909090909090909,0.0909090909090909
0,1,4,0,11,0,0,0,0,0,0,7,4,2,3,0,226,3,0,98,2,0.0,0.05,0.05,0.1,0.1,0.4,0.15,0.1,0.05,0.0,0.0
0,2,2,0,10,0,0,0,0,0,1,8,3,1,3,0,70,3,0,106,0,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.3333333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333
0,2,1,2,3,0,0,0,0,0,1,2,1,0,0,0,10,3,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,2,0,0,0,0,0,0,2,1,0,0,0,9,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,3,0,0,3,0,0,0,2,2,0,0,0,10,3,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,0,13,0,0,0,0,0,1,7,3,0,4,0,110,4,0,63,1,0.0,0.1034482758620689,0.1724137931034483,0.0689655172413793,0.0344827586206896,0.1724137931034483,0.1724137931034483,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793
0,3,4,0,11,0,0,0,0,0,1,7,2,0,3,0,52,3,0,6,0,0.0,0.0,0.0,0.1538461538461538,0.1538461538461538,0.3076923076923077,0.0,0.0,0.0,0.1538461538461538,0.2307692307692307
0,6,2,0,11,0,0,5,0,0,4,10,8,2,5,1,21,3,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,7,0,0,0,0,0,0,5,1,0,2,0,43,3,0,5,-1,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.2,0.1,0.0
0,1,1,0,5,0,1,0,0,0,0,2,1,1,2,0,21,3,0,20,-1,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1,2,2,0,12,0,0,0,0,0,1,7,3,1,6,0,23,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,0,7,0,0,0,0,0,0,4,1,0,2,0,60,3,0,4,0,0.0,0.1666666666666666,0.0,0.1111111111111111,0.0,0.1666666666666666,0.1666666666666666,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111
0,3,3,0,13,0,0,1,0,0,4,7,4,1,4,1,23,3,0,23,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
0,1,3,0,7,0,0,0,0,0,0,4,3,0,2,0,96,3,0,4,1,0.0,0.0833333333333333,0.0833333333333333,0.125,0.0416666666666666,0.25,0.0833333333333333,0.0833333333333333,0.0416666666666666,0.125,0.0833333333333333
0,3,4,0,10,0,0,0,0,0,1,6,4,1,3,0,75,4,0,5,0,0.0,0.074074074074074,0.074074074074074,0.1111111111111111,0.0,0.1851851851851851,0.2222222222222222,0.1111111111111111,0.037037037037037,0.1111111111111111,0.074074074074074
0,2,2,0,13,0,0,0,0,0,1,7,4,0,2,0,66,3,0,4,0,0.0,0.1818181818181818,0.0,0.0909090909090909,0.0,0.0909090909090909,0.2727272727272727,0.2727272727272727,0.0,0.0909090909090909,0.0
0,1,2,0,8,0,0,2,0,0,1,5,5,0,3,0,29,4,0,7,0,0.0,0.1875,0.125,0.0625,0.0,0.0625,0.1875,0.0625,0.1875,0.0625,0.0625
0,3,3,0,21,0,0,1,0,0,2,13,2,0,6,2,87,3,0,128,3,0.0,0.0,0.1538461538461538,0.2307692307692307,0.0,0.2307692307692307,0.1538461538461538,0.0,0.1538461538461538,0.0769230769230769,0.0
0,2,2,0,6,0,0,1,0,0,2,5,4,1,2,0,12,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,1,0,3,0,0,1,0,0,1,2,3,2,2,0,6,4,1,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,1,1,0,7,0,0,0,0,0,0,3,2,0,3,0,12,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,0,9,0,0,0,0,0,0,5,3,0,2,0,142,3,0,94,-2,0.0,0.054054054054054,0.054054054054054,0.2702702702702703,0.054054054054054,0.2972972972972973,0.054054054054054,0.054054054054054,0.027027027027027,0.081081081081081,0.054054054054054
0,1,1,0,3,0,0,0,0,0,0,3,2,0,0,0,12,4,0,11,0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
0,2,3,0,13,0,0,1,0,0,2,8,3,0,3,1,45,3,0,6,0,0.0,0.2307692307692307,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.1538461538461538,0.1538461538461538,0.0,0.0
0,3,6,0,13,0,0,1,0,0,2,7,6,0,3,0,141,3,0,89,0,0.0,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.2857142857142857,0.1904761904761904,0.0952380952380952,0.0,0.0476190476190476,0.0952380952380952
0,4,5,0,5,0,0,0,0,0,1,5,1,0,0,0,27,1,0,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,4,0,6,0,0,0,0,0,0,3,1,0,2,0,32,3,0,10,0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0,2,3,1,4,0,0,0,0,0,0,3,0,0,0,0,24,2,0,4,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,3,1,3,4,0,0,0,0,0,0,4,0,0,0,0,18,2,0,40,0,1.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2
0,1,1,0,5,0,0,0,0,0,1,3,1,0,1,0,15,3,0,7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,2,0,0,0,0,0,0,2,1,0,1,0,11,3,0,5,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,5,0,0,0,0,0,1,3,2,0,1,0,30,3,0,7,0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
0,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,10,3,0,10,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,3,0,0,0,0,0,0,1,1,1,1,0,11,3,0,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,2,0,2,0,0,0,0,0,2,3,2,0,0,0,5,3,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,11,0,0,0,0,0,0,7,5,1,5,0,44,4,0,14,-1,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0
0,2,4,0,5,0,0,0,0,0,1,4,2,0,2,0,19,4,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0,1,2,0,8,0,0,0,0,0,0,5,3,0,2,0,57,3,0,6,0,0.0,0.125,0.125,0.0,0.0,0.125,0.25,0.25,0.125,0.0,0.0
0,1,1,0,9,0,0,0,0,0,1,3,1,0,1,1,10,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,3,0,0,0,0,0,2,4,2,1,1,0,7,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,4,0,0,0,0,0,1,3,3,0,3,0,21,4,1,0,0,0.0,0.125,0.125,0.25,0.0,0.125,0.125,0.125,0.0,0.125,0.0
0,2,5,0,7,0,0,0,0,0,2,5,3,1,2,0,58,3,0,5,0,1.0,0.2,0.2,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.2
0,4,3,0,10,0,0,3,0,0,0,7,5,1,3,0,42,3,0,5,0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
0,2,4,0,7,0,0,1,0,0,0,5,2,0,1,0,37,3,0,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,5,0,0,1,0,0,0,2,1,1,1,0,15,4,0,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,3,0,19,0,0,0,0,0,2,13,3,1,6,2,26,3,0,4,-1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,3,0,20,0,1,1,0,0,1,9,9,1,8,2,39,4,0,19,1,1.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0
1,4,6,0,13,0,0,1,0,0,1,9,4,1,3,0,110,3,0,67,1,1.0,0.25,0.125,0.0416666666666666,0.0,0.125,0.2083333333333333,0.125,0.0416666666666666,0.0416666666666666,0.0416666666666666
0,1,1,0,5,0,0,1,0,0,0,2,2,0,1,0,8,4,1,0,0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
0,2,3,0,4,0,0,0,0,0,1,4,1,0,0,0,12,3,0,11,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,9,0,0,0,0,0,0,6,3,0,2,0,82,3,0,113,0,1.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
0,4,4,0,11,0,0,0,0,0,2,6,4,1,6,0,41,3,0,6,0,1.0,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.4285714285714285
0,1,2,0,5,0,0,1,0,0,0,4,2,0,2,0,46,3,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,1,1,0,5,0,0,1,0,0,0,2,1,0,2,0,26,3,0,4,0,1.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.4
0,1,2,0,4,0,0,1,0,0,1,2,2,0,2,0,18,3,0,8,0,1.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
0,2,4,0,7,0,0,0,0,0,1,5,2,0,2,0,36,3,0,8,0,1.0,0.1,0.1,0.2,0.0,0.3,0.1,0.0,0.0,0.1,0.1
0,2,3,0,5,0,0,0,0,0,0,3,2,0,1,0,40,3,0,5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,3,0,0,1,0,0,0,2,2,0,1,0,21,3,0,10,0,1.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
0,1,1,0,5,0,0,0,0,0,0,3,2,0,2,0,27,4,0,8,0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
0,1,3,0,8,0,0,0,0,0,0,5,3,0,2,0,104,4,0,61,1,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0
0,1,3,0,11,0,0,0,0,0,0,7,3,0,4,0,231,3,0,107,0,0.0,0.0816326530612244,0.1224489795918367,0.0612244897959183,0.0204081632653061,0.2448979591836734,0.2244897959183673,0.0816326530612244,0.1020408163265306,0.0408163265306122,0.0204081632653061
0,1,4,0,6,0,0,0,0,0,0,4,2,0,1,0,53,3,0,4,1,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666
0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,4,5,1,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,0,8,0,0,0,0,0,0,5,2,0,2,0,65,3,0,4,-1,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0
0,1,2,0,3,0,0,0,0,0,0,1,3,0,2,0,14,5,1,0,-1,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.0,0.0
0,1,1,0,4,0,0,2,0,0,0,4,4,0,1,0,10,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
1,3,3,0,10,0,0,1,0,0,2,6,1,0,2,1,14,3,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,4,0,0,0,0,0,0,2,1,0,1,0,5,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0,1,1,0,5,0,0,0,0,0,0,5,1,0,0,0,9,3,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0,7,0,0,0,0,0,0,4,2,0,1,0,9,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
